financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2010/2011,Northern Sydney,0.1951219512195122,0.3249128919860627,0.7321428571428573,1.6599827882960412,12.114285714285714,0.0267857142857142,,,,98.0,145.1,13.8
2011/2012,Northern Sydney,0.1951219512195122,0.2763414634146341,0.6521428571428572,1.70855421686747,12.919999999999998,0.0396428571428571,0.4,,,113.3,159.2,15.3
2012/2013,Northern Sydney,0.1951219512195122,0.2630081300813008,0.5988095238095239,1.7274431057563586,15.455555555555556,0.0696428571428571,0.35,,,122.5,160.8,16.799999999999997
2013/2014,Northern Sydney,0.1951219512195122,0.2518970189701897,0.6376984126984128,1.682998661311914,13.666666666666666,0.0640873015873016,0.4,,,135.1,167.3,17.45
2014/2015,Northern Sydney,0.1951219512195122,0.2018970189701897,0.5765873015873016,1.810776439089692,14.733333333333333,0.0363095238095238,0.55,221.3,283.0,111.2,127.3,16.3
2015/2016,Northern Sydney,0.1951219512195122,0.2574525745257452,0.5932539682539683,1.7552208835341363,15.77777777777778,0.058531746031746,0.6499999999999999,211.7,263.9,117.3,127.2,15.3
2016/2017,Northern Sydney,0.1951219512195122,0.2113414634146341,0.5571428571428572,1.8435542168674697,15.88,0.0646428571428571,0.625,215.5,243.2,124.4,124.4,15.2
2017/2018,Northern Sydney,0.1850174216027874,0.1770034843205574,0.5474489795918368,2.0483648881239245,17.142857142857142,0.0599489795918367,0.45,195.6,216.7,100.3,101.2,14.75
2018/2019,Northern Sydney,0.2249999999999999,0.175,0.5375,2.0500000000000003,17.725,0.1,0.3,195.0,223.0,116.3,118.1,
2019/2020,Northern Sydney,0.25,0.41005291005291,0.6941798941798942,1.537051282051282,15.739175257731956,0.0366492146596858,0.3,169.1,183.5,95.9,84.4,
